年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
104,12,200,仁愛區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,200,仁愛區,5低壓綜合需量非營業用　,135,"3,733","407,282",5498730
104,12,200,仁愛區,6低壓綜合非營業用電小計,**,"3,733","407,282",5498730
104,12,200,仁愛區,7低壓綜合裝置營業用　　,＊,106,"7,678",120722
104,12,200,仁愛區,8低壓綜合需量營業用　　,326,"10,098","1,957,474",28026024
104,12,200,仁愛區,9低壓綜合營業用電小計　,**,"10,204","1,965,152",28146746
104,12,200,仁愛區,10低壓綜合用電小計　　　,**,"13,937","2,372,434",33645476
104,12,200,仁愛區,11低壓裝置電力　　　　　,62,609,"95,567",1361567
104,12,200,仁愛區,12低壓需量電力　　　　　,13,393,"73,583",1081799
104,12,200,仁愛區,13低壓電力小計　　　　　,**,1002,"169,150",2443366
104,12,200,仁愛區,14高壓電力　　　　　　　,24,"7,431","1,540,925",21466653
104,12,200,仁愛區,15特高壓電力　　　　　　,＊,0,0,0
104,12,200,仁愛區,16高＆特高壓電力小計　　,**,"7,431","1,540,925",21466653
104,12,200,仁愛區,17電力小計　　　　　　　,**,"8,433","1,710,075",23910019
104,12,200,仁愛區,18綜合＆電力小計　　　　,**,"22,370","4,082,509",57555495
104,12,200,仁愛區,19電燈＆綜合＆電力小計　,**,"27,943","14,455,975",185647775
104,12,200,仁愛區,20臨時電燈　　　　　　　,6,0,6510,50956
104,12,200,仁愛區,21臨時電力　　　　　　　,＊,0,0,44760
104,12,200,仁愛區,22臨時用電小計　　　　　,**,0,6510,95716
104,12,200,仁愛區,23總計（含臨時用電）　　,**,"27,943","14,462,485",185743491
104,12,200,仁愛區,24表燈合計　　　　　　　,**,"5,573","10,379,976",128143236
104,12,200,仁愛區,25綜合＆電力合計　　　　,**,"22,370","4,082,509",57600255
104,12,201,信義區,1表燈非營業用　　　　,"24,941",271,"584,096",89955460
104,12,201,信義區,2表燈營業用　　　　　　,"1,151","1,740","599,170",18651311
104,12,201,信義區,3表燈小計　　　　　　　,**,"2,011","1,183,266",108606771
104,12,201,信義區,4低壓綜合裝置非營業用　,＊,0,0,0
104,12,201,信義區,5低壓綜合需量非營業用　,124,"4,791","580,691",8605841
104,12,201,信義區,6低壓綜合非營業用電小計,**,"4,791","580,691",8605841
104,12,201,信義區,7低壓綜合裝置營業用　　,＊,68,"14,120",168760
104,12,201,信義區,8低壓綜合需量營業用　　,47,"2,646","598,492",8191224
