seqno,type,city,countycode,name,localcallservice,address
258,環保餐廳,新北市,65000,"古拉爵 義式屋-新店家樂福店",02-29144822,新北市新店區中興路3段1號7樓
259,環保餐廳,新北市,65000,古都餐廳,02-22709535,新北市土城區中華路2段257號
260,環保餐廳,新北市,65000,台灣壽司郎股份有限公司-新北中和環球店,02-22212010,新北市中和區中山路三段122號B2樓
261,環保餐廳,新北市,65000,四姊妹海鮮餐廳,02-24921602,新北市萬里區野柳村港東路160號
262,環保餐廳,新北市,65000,巧滋小廚早午餐,0965731905,新北市板橋區莒光路8號1樓
263,環保餐廳,新北市,65000,"布拉德施維根廚房 Brother Su Vegan Kitchen",-,新北市中和區南華路29號
264,環保餐廳,新北市,65000,弘爺漢堡-新莊信義店,02-29908418,新北市新莊區公園一路98號
265,環保餐廳,新北市,65000,本田食堂,02-77054168,新北市板橋區新站路28號
266,環保餐廳,新北市,65000,玉山銀行(希望大樓)員工餐廳,02-21751313#8181,新北市三重區中興北街42巷17弄10號
267,環保餐廳,新北市,65000,"瓦城 中和環球",02-77317778,新北市中和區中山路三段122號4樓
268,環保餐廳,新北市,65000,瓦城泰國料理板橋遠百店,02-29589133,新北市板橋區中山路一段152號13樓
269,環保餐廳,新北市,65000,甘樂食堂,02-26731857,新北市三峽區清水街317號
270,環保餐廳,新北市,65000,田中芳園養生食坊,02-24982385,新北市金山區清水路53號
271,環保餐廳,新北市,65000,"白日夢Tea & Cafe",02-26380045,新北市石門區阿里荖47-2號
272,環保餐廳,新北市,65000,仨食三餐,02-26823823,新北市樹林區千歲街61巷36-1號1樓
